FECHA,x,y,MCARI_OSAVI,CI_green,NDRE,NDVI,MCARI_OSAVI_RE,MTCI,TCARI_OSAVI,CCCI_simpl,GNDVI,CCCI,N_TOTAL,RVI,CIred_edge,TCARI_OSAVI_RE
09/11/17,672991,2834763,0.28392023,1.0157613188,0.0747832458,0.2064674512,0.1559002485,0.6910657614,1.3573063433,0.1554882003,0.3366692096,0.3629765391,3.26,1.5208983421,0.161724662,2.1544590235
09/11/17,673009,2834792,0.2743144393,0.9853484797,0.077152952,0.20314098,0.1888650888,0.7531148016,1.3163497066,0.1751696545,0.3296493995,0.3828924036,3.31,1.5116258001,0.1673009485,2.1882581615
09/11/17,673016,2834822,0.2946716726,1.0930535126,0.0792817757,0.2282692188,0.1642817229,0.6626440895,1.3766313791,0.1928504738,0.3532862008,0.3489449203,3.78,1.5924995756,0.1722824532,2.167295742
09/11/17,673030,2834850,0.2967746124,1.1917910695,0.0943309035,0.2680191144,0.236521174,0.7045845509,1.3364557624,0.3178401157,0.3728512079,0.3552675977,3.48,1.7365816236,0.2084487677,2.2377999783
09/11/17,673053,2834876,0.2393738829,1.0526228398,0.0996545877,0.2302986771,0.2889894478,0.9570188373,1.1144910514,0.3620556623,0.3444107682,0.4354881778,3.49,1.6005745471,0.2214761108,2.1641324043
09/11/17,673055,2834900,0.2449617656,0.9796480834,0.0879670037,0.206628819,0.258191877,0.9036056437,1.1729384139,0.2649851218,0.3286481332,0.4269898143,3.46,1.521703355,0.1929778345,2.1822151244
09/11/17,673174,2834640,0.2666014808,0.9465935349,0.0728723723,0.1908679622,0.1643251714,0.7411863852,1.3008628654,0.1396175528,0.3211370945,0.382338202,3.75,1.4724719286,0.1573098609,2.1283483791
09/11/17,673177,2834950,0.305625757,1.2571229744,0.0909002683,0.2707980728,0.1976063704,0.6446481228,1.3911965942,0.2893471783,0.385795182,0.3356819701,3.72,1.7432503128,0.2001169825,2.227669096
09/11/17,673184,2834661,0.3084473833,1.2071886897,0.0864010796,0.2734904498,0.17343577,0.5911430582,1.3789209604,0.251979433,0.3756726027,0.3162359089,3.75,1.7562892079,0.1893770464,2.1189477026
09/11/17,673198,2834685,0.2897228444,1.1001628637,0.0741307285,0.2266843367,0.1143252572,0.598586309,1.3550037861,0.1500687577,0.3546951985,0.32709764,3.86,1.586881218,0.1602381968,2.0117039728
09/11/17,673227,2834700,0.2489874965,1.015180397,0.0839861706,0.2047072077,0.2195011562,0.8499544024,1.219893074,0.231922549,0.3363838804,0.4115577781,4.04,1.5167345095,0.1836064953,2.1750438595
09/11/17,673228,2835039,0.2784930162,1.2997279763,0.1010621086,0.2779986568,0.2364175737,0.7421026438,1.2747649968,0.3737457447,0.3937011734,0.3650988027,3.71,1.7720649362,0.2250806652,2.1965964794
09/11/17,673241,2834730,0.2492695761,1.0473542595,0.0928438783,0.2267976427,0.2557240689,0.8619199467,1.1615328932,0.3054897165,0.3433478296,0.4113305676,3.82,1.5885667753,0.2048028564,2.1242532063
09/11/17,673366,2834823,0.2611593805,0.9926783234,0.0794034336,0.196849332,0.2056336019,0.8125161827,1.2881721795,0.1938608989,0.3314751908,0.4034108236,3.75,1.4907150924,0.1726153471,2.234872067
09/11/17,673564,2835003,0.2623230147,1.2697011757,0.1058818203,0.2865359426,0.2511056525,0.7599782348,1.1735717106,0.4137755728,0.3877689743,0.3707323813,3.26,1.8069768333,0.2370269197,2.0688414669
10/05/17,672775,2834649,0.0962656605,10.0438826752,0.3062342304,0.7488720846,0.5113673568,1.2268659544,1.4284119225,0.687944876,0.8333297157,0.4096348333,2.75,7.0407135963,0.8876264405,4.3599308205
10/05/17,672957,2834784,0.15914814,9.0793327713,0.2830279452,0.6880849886,0.4962019372,1.1967455268,1.4925056934,0.5894282281,0.8179971647,0.4122736633,2.44,5.4983883286,0.7927551746,4.2176771641
10/05/17,672975,2834812,0.0740877339,10.1465846634,0.2724123472,0.7704162169,0.5592688656,0.9795063996,1.6619386339,0.5443622875,0.8351744819,0.3545492208,2.51,7.8280967903,0.751330328,4.9904612255
10/05/17,672989,2834846,0.0220424523,11.7640350723,0.2974373412,0.8145371342,0.5279233599,1.0470873165,1.3824463892,0.6505998182,0.8545427871,0.3653454459,2.61,9.8387356186,0.8478848362,4.6440918541
10/05/17,673025,2834853,0.0123239816,12.8465250969,0.3489088222,0.8256369501,0.4534698874,1.3423420072,1.1078532338,0.8691094786,0.8651456684,0.4227102578,2.76,10.4863078594,1.0743793637,3.9998207092
10/05/17,673035,2834882,0.036504962,12.3548543167,0.3395565498,0.8164637232,0.4931683505,1.3068039322,1.225168376,0.8294066787,0.8601943707,0.4162942326,2.64,9.9735324478,1.0332101679,4.3251009846
10/05/17,673049,2834903,0.0396346967,12.6569864655,0.3238139379,0.8104983473,0.5111332572,1.215074439,1.3002144384,0.7625752497,0.86306144,0.4001390862,3.02,9.6796426964,0.9605609679,4.4962802887
10/05/17,673176,2834594,0.1501129792,5.2775048828,0.2286774474,0.449137131,0.369918474,1.6641673279,1.0464600205,0.3586963964,0.7189921427,0.5233446813,2.8,2.7640723372,0.5971762764,3.0362490463
10/05/17,673180,2834623,0.1463747257,8.604931488,0.2700441134,0.6855935907,0.4625985229,1.1129164958,1.438859458,0.5343085229,0.8110210896,0.3957959485,3.07,5.4493087769,0.7410583568,3.9590145397
10/05/17,673200,2834645,0.0367692006,11.6785821915,0.3104408383,0.7967888021,0.566560849,1.1512164521,1.4988821507,0.7058030009,0.8535818696,0.3899144518,2.69,8.8936949348,0.9014291406,4.9196909523
10/05/17,673223,2834672,0.1420327523,8.3783445549,0.2893729657,0.6735776305,0.4523871994,1.3191814566,1.3030227375,0.6163644707,0.8063340378,0.4345816278,3.51,5.303099308,0.8173628879,3.7606650639
10/05/17,673240,2834699,0.153576473,8.7747501755,0.2848818034,0.7014111304,0.5097352397,1.1747091937,1.5033808231,0.5972983336,0.8136633968,0.4070471323,2.53,5.747847023,0.7983565283,4.2784439564
10/05/17,673249,2834730,0.0950194651,9.2838495731,0.2685503401,0.7457653463,0.5611769319,0.9901428431,1.7068706453,0.52796707,0.8220737487,0.3609415486,1.94,6.9671225071,0.7354686588,4.8989582539
10/05/17,673265,2835122,0,10.9710703278,0.288274821,0.8351452804,0.6795318794,0.973580296,1.6778433084,0.6117025661,0.8450419259,0.3454686058,2.74,11.1985689545,0.812636435,5.9784362602
10/05/17,673292,2835142,0,12.5423497009,0.34052598,0.8457070827,0.6611070967,1.2477013111,1.5106808758,0.8335221577,0.8619776773,0.4027678752,2.17,11.9858609009,1.0341561055,5.7745084
10/05/17,673310,2835154,0,14.0361171722,0.3565774512,0.8588827014,0.696412642,1.3225545883,1.5250055695,0.901664784,0.8751119113,0.4152153087,2.18,13.2095050812,1.1098859811,6.2506357574
10/05/17,673505,2834937,0.0733191316,11.2718397141,0.3403176159,0.779559049,0.470640111,1.4005066633,1.2216392815,0.8326376051,0.8490687609,0.4372093961,2.54,8.1439422846,1.0381311506,4.0651990891
10/05/17,673530,2834966,0.0763715337,10.9417922497,0.3372019976,0.7751201719,0.4553525954,1.4043631077,1.1877306253,0.8194110066,0.8449416608,0.4363920227,2.26,8.0122021437,1.0267207056,3.9277211785
10/05/17,673546,2834987,0.1047101697,10.6105492711,0.3292943016,0.746503748,0.4442082345,1.4087516293,1.1854504831,0.7858407982,0.8410740569,0.4428775497,2.23,7.0286723077,0.9865574203,3.7897811234
10/10/17,672967,2834789,0.0717026465,4.475983839,0.2015609041,0.7571576416,0.2506252855,0.6386511087,0.8908220768,0.5927184403,0.7010622889,0.2661173195,2.53,7.5640408516,0.5063268885,2.1986268282
10/10/17,672984,2834806,0,5.6480067253,0.2247613072,0.8236632967,0.2751748914,0.6855136442,0.7889502501,0.7022002161,0.7414110041,0.2729218465,2.47,10.4834458542,0.5805423141,2.3490077496
10/10/17,673002,2834847,0.0011185473,6.3512846184,0.242024315,0.8437368512,0.2841125292,0.7435311246,0.700083673,0.7779439306,0.7571245718,0.2871386755,2.46,12.1397641373,0.6391418719,2.3620106363
10/10/17,673006,2834859,0,7.4694045544,0.2643989736,0.8877924871,0.3654043722,0.8014125133,0.6496957278,0.8568670064,0.7892987037,0.2978488731,2.88,16.9033782196,0.7193068814,3.0298824215
10/10/17,673037,2834889,0,7.3954942322,0.2748421907,0.8756545162,0.3504065299,0.8595233011,0.6977653265,0.8873765159,0.7873874855,0.3139068937,2.71,15.140681839,0.7589381957,2.8489637756
10/10/17,673049,2834901,0,7.156624794,0.268449153,0.8762545735,0.3547057971,0.8296298206,0.7041189015,0.8636595774,0.7846821874,0.3064145625,2.67,15.2429822445,0.734401238,2.8989235997
10/10/17,673179,2834599,0.1598840085,3.0834644508,0.1464978582,0.6243104339,0.173439243,0.497780503,1.0731521392,0.4082731533,0.6111853337,0.232880252,2.65,4.4798492527,0.3460807955,1.9993533707
10/10/17,673190,2834611,0.0172729133,4.9066158056,0.1969620071,0.796900776,0.2652934566,0.5911553741,0.9182072759,0.6235887349,0.7069623351,0.2466426373,2.66,9.028456974,0.4925959304,2.420159024
10/10/17,673220,2834641,0.0099698205,5.5876674652,0.2395293939,0.8139308119,0.308088581,0.7570189095,0.8556823945,0.7624592602,0.7396918988,0.2941836214,2.37,9.8371544647,0.6307091475,2.49484375
10/10/17,673235,2834655,0.0079818259,5.3444054413,0.2222167081,0.8075216961,0.2986004376,0.6880811667,0.8968386936,0.7068789434,0.7256349707,0.2752602088,2.56,9.4324546432,0.5723264313,2.5036740589
10/10/17,673262,2834676,0.0805464912,4.3235131741,0.2040310585,0.7280203867,0.2571135581,0.6824315655,0.9204524398,0.6315588009,0.6811372972,0.2818394089,2.76,6.4923682213,0.5141293645,2.166817832
10/10/17,673277,2834693,0,5.3107658327,0.2031171489,0.8240529847,0.2538541389,0.5992843723,0.8094220257,0.6542754956,0.7305713177,0.2467072999,2.81,10.5227142334,0.5109877598,2.3663507652
10/10/17,673282,2835115,0,7.3397774315,0.2588152391,0.8907259035,0.3569573867,0.7769907546,0.6193628812,0.8264220905,0.7874329734,0.2906297338,1.8,17.3247297287,0.7000595498,3.002806015
10/10/17,673291,2835169,0,7.9431009054,0.285001843,0.8917981267,0.3889133608,0.889357264,0.6581711125,0.9261749446,0.8000301743,0.3196190143,2.36,17.5386001205,0.7976498556,3.1741528606
10/10/17,673294,2835126,0,7.9614173508,0.2734277308,0.8996921277,0.3913135803,0.8301631045,0.5936362457,0.892232995,0.797191925,0.303901273,1.98,18.952936554,0.7532669902,3.2350287342
10/10/17,673515,2834941,0,6.9948210001,0.2504553735,0.8532418966,0.3650503206,0.7704753613,0.861273849,0.8018848568,0.7772390413,0.2934082329,2.69,12.8410980988,0.6691403747,3.0644700623
10/10/17,673533,2834967,0,6.7350783348,0.2407285374,0.8388991117,0.3085290015,0.7413191366,0.8073484755,0.7916712403,0.765261631,0.2868672037,2.56,11.4942804718,0.6352556992,2.6076913929
10/10/17,673541,2834974,0,7.2839519691,0.2638774812,0.8571647406,0.3313979208,0.8268207622,0.7546508718,0.8588629746,0.7833950591,0.3076813149,2.66,13.1306704712,0.7181545162,2.7285070801
10/20/17,672954,2834824,0.0803009123,6.475496273,0.234769488,0.8087225008,0.8067298031,0.7430260539,2.3247933531,0.743647058,0.7637126684,0.2904775208,2.18,9.5137051582,0.6149540925,6.9845274734
10/20/17,672990,2834852,0,7.9905386162,0.2528119242,0.8667609,0.9388419819,0.7706538939,2.0404150867,0.8052170563,0.7991740084,0.2916231263,3.47,14.0470895386,0.6782500291,8.1828121376
10/20/17,673001,2834864,0,7.0658171082,0.2212927252,0.843308053,0.7976081252,0.6572156215,2.1865703917,0.6976574659,0.7787290406,0.2623078358,3.13,11.8602919769,0.5696409094,7.4735989189
10/20/17,673041,2834885,0,8.0221828079,0.2833575499,0.8514904094,0.8581562996,0.9312155247,1.9560824871,0.9094543242,0.7995430255,0.3326637399,3.33,12.5363412857,0.7962518716,7.1537865067
10/20/17,673054,2834896,0.0464255251,7.3513855362,0.2622572005,0.8390656972,0.9667763066,0.8417700696,2.3540973091,0.837449162,0.7854247952,0.3126830685,3.33,11.522918396,0.7140815187,8.1124994469
10/20/17,673203,2834616,0,6.6456993675,0.2244608635,0.8174830317,0.883953383,0.6899860573,2.6073188877,0.7084687686,0.7682315731,0.2745826149,3.22,10.0106079483,0.5801288331,7.9985918617
10/20/17,673222,2834635,0,7.3695418739,0.261105926,0.8430814934,0.8511273718,0.8288385868,2.0425026989,0.8335204315,0.7861521006,0.309699893,2.67,11.7764710617,0.7080008483,7.0892214203
10/20/17,673235,2834645,0.2122091439,5.1604990005,0.2413673168,0.7179250121,0.6693928099,0.876063869,2.0332204533,0.7661622214,0.7188668084,0.3363689423,3.27,6.2020499039,0.639022845,5.2764563751
10/20/17,673257,2834685,0.2360929182,5.1136638832,0.2193880719,0.7167995358,0.7333881009,0.7670351493,2.5228227234,0.6911578143,0.7177210116,0.3067435944,3.48,6.1591047478,0.5650729084,6.2959685135
10/20/17,673265,2834696,0.3644122073,3.0237783384,0.1721066558,0.484067198,0.5471866262,0.8870810056,2.1248320007,0.5298094916,0.5898136604,0.3723780119,3.28,3.2374092436,0.4192830586,4.6214965057
10/20/17,673292,2835107,0,6.5515128326,0.230845049,0.8332587743,0.7688414192,0.7059217536,2.1364851999,0.7302548718,0.7645008969,0.2766420346,2.65,11.0981056213,0.6036187923,6.8567866898
10/20/17,673299,2835143,0.0957990636,6.0497528458,0.2211744553,0.8059111118,0.9583455539,0.6892719519,3.0591441441,0.6972538686,0.7498220801,0.2738492715,2.68,9.4025107956,0.5732377279,8.8293901443
10/20/17,673310,2835152,0,6.3335732651,0.2244219035,0.8165746665,1.0180828261,0.692314446,3.04615098,0.708335824,0.7594623923,0.27454211,2.99,9.9703759384,0.58187603,9.2098648834
10/20/17,673477,2834933,0,7.3477396202,0.2425894368,0.8263079047,0.9374775028,0.763469975,2.5702060986,0.7703327179,0.7856227064,0.2935438371,3.53,10.582035408,0.6434586084,8.2968810654
10/20/17,673502,2834948,0,7.6348693848,0.2477452004,0.8405325651,0.8554128647,0.774526,2.1897022295,0.7879268122,0.7917008781,0.2948229671,2.95,11.6004674911,0.6618122077,7.5559438324
